Date,Open,High,Low,Close,Adj Close,Volume
21-04-23,"₹ 17,639.75","₹ 17,663.20","₹ 17,553.95","₹ 17,624.05","₹ 17,624.05",230200
24-04-23,"₹ 17,707.55","₹ 17,754.50","₹ 17,612.50","₹ 17,743.40","₹ 17,743.40",255700
25-04-23,"₹ 17,761.55","₹ 17,807.45","₹ 17,716.85","₹ 17,769.25","₹ 17,769.25",297400
26-04-23,"₹ 17,767.30","₹ 17,827.75","₹ 17,711.20","₹ 17,813.60","₹ 17,813.60",233000
27-04-23,"₹ 17,813.10","₹ 17,931.60","₹ 17,797.90","₹ 17,915.05","₹ 17,915.05",241400
28-04-23,"₹ 17,950.40","₹ 18,089.15","₹ 17,885.30","₹ 18,065.00","₹ 18,065.00",290300
02-05-23,"₹ 18,124.80","₹ 18,180.25","₹ 18,101.75","₹ 18,147.65","₹ 18,147.65",265200
03-05-23,"₹ 18,113.80","₹ 18,116.35","₹ 18,042.40","₹ 18,089.85","₹ 18,089.85",226200
04-05-23,"₹ 18,081.00","₹ 18,267.45","₹ 18,066.70","₹ 18,255.80","₹ 18,255.80",226600
05-05-23,"₹ 18,117.30","₹ 18,216.95","₹ 18,055.45","₹ 18,069.00","₹ 18,069.00",239700
08-05-23,"₹ 18,120.60","₹ 18,286.95","₹ 18,100.30","₹ 18,264.40","₹ 18,264.40",228400
09-05-23,"₹ 18,303.40","₹ 18,344.20","₹ 18,229.65","₹ 18,265.95","₹ 18,265.95",245400
10-05-23,"₹ 18,313.60","₹ 18,326.75","₹ 18,211.95","₹ 18,315.10","₹ 18,315.10",220500
11-05-23,"₹ 18,357.80","₹ 18,389.70","₹ 18,270.40","₹ 18,297.00","₹ 18,297.00",248900
12-05-23,"₹ 18,273.75","₹ 18,342.75","₹ 18,194.55","₹ 18,314.80","₹ 18,314.80",241700
15-05-23,"₹ 18,339.30","₹ 18,458.90","₹ 18,287.90","₹ 18,398.85","₹ 18,398.85",216100
16-05-23,"₹ 18,432.35","₹ 18,432.35","₹ 18,264.35","₹ 18,286.50","₹ 18,286.50",219500
