Date,Open,High,Low,Close,Adj Close,Volume
19-10-23,"₹ 43,616.75","₹ 44,058.80","₹ 43,558.10","₹ 43,754.50","₹ 43,754.50",156600
20-10-23,"₹ 43,584.25","₹ 43,877.50","₹ 43,567.45","₹ 43,723.05","₹ 43,723.05",152400
23-10-23,"₹ 43,822.70","₹ 43,831.30","₹ 43,029.45","₹ 43,151.20","₹ 43,151.20",201400
25-10-23,"₹ 43,308.30","₹ 43,397.45","₹ 42,758.40","₹ 42,832.00","₹ 42,832.00",188300
26-10-23,"₹ 42,708.40","₹ 42,716.20","₹ 42,105.40","₹ 42,280.15","₹ 42,280.15",307100
27-10-23,"₹ 42,555.60","₹ 42,840.15","₹ 42,482.75","₹ 42,782.00","₹ 42,782.00",213900
30-10-23,"₹ 42,721.40","₹ 43,112.50","₹ 42,390.50","₹ 43,039.15","₹ 43,039.15",189000
31-10-23,"₹ 43,356.85","₹ 43,356.85","₹ 42,797.15","₹ 42,845.95","₹ 42,845.95",157400
01-11-23,"₹ 42,694.25","₹ 42,815.15","₹ 42,589.65","₹ 42,700.95","₹ 42,700.95",145200
02-11-23,"₹ 43,018.70","₹ 43,271.50","₹ 42,796.45","₹ 43,017.20","₹ 43,017.20",144700
03-11-23,"₹ 43,318.30","₹ 43,416.10","₹ 43,221.00","₹ 43,318.25","₹ 43,318.25",124100
06-11-23,"₹ 43,627.75","₹ 43,648.70","₹ 43,415.20","₹ 43,619.40","₹ 43,619.40",149900
07-11-23,"₹ 43,598.85","₹ 43,799.35","₹ 43,283.85","₹ 43,737.90","₹ 43,737.90",198200
08-11-23,"₹ 43,791.80","₹ 43,797.55","₹ 43,547.75","₹ 43,658.65","₹ 43,658.65",163400
09-11-23,"₹ 43,626.10","₹ 43,876.75","₹ 43,542.65","₹ 43,683.60","₹ 43,683.60",108900
10-11-23,"₹ 43,543.25","₹ 43,908.70","₹ 43,504.95","₹ 43,820.10","₹ 43,820.10",90000
13-11-23,"₹ 43,915.10","₹ 43,970.75","₹ 43,681.40","₹ 43,891.25","₹ 43,891.25",169600
15-11-23,"₹ 44,398.45","₹ 44,408.55","₹ 44,164.55","₹ 44,201.70","₹ 44,201.70",202500
16-11-23,"₹ 44,251.70","₹ 44,420.95","₹ 44,064.15","₹ 44,161.55","₹ 44,161.55",144300
17-11-23,"₹ 43,656.25","₹ 43,872.85","₹ 43,513.85","₹ 43,583.95","₹ 43,583.95",227400
